,Oil_store,주소,가격,셀프,상표,구
437,sk네트웍스(주)직영 하계주유소,서울 노원구 노원로17길 29 (하계동),1695.0,N,SK에너지,노원구
438,양지진흥개발(주)상계주유소,서울 노원구 노해로 527 (상계동),1734.0,N,SK에너지,노원구
439,한이에너지(주)KLP제1주유소,서울특별시 도봉구  도봉로 596 (창동),1490.0,N,현대오일뱅크,도봉구
440,삼미북부셀프주유소,서울특별시 도봉구  도봉로 437 (쌍문동),1495.0,Y,SK에너지,도봉구
441,도봉제일주유소(주)송만에너지,서울특별시 도봉구  도봉로 783 (도봉동),1495.0,N,현대오일뱅크,도봉구
442,정다운셀프주유소, 서울특별시 도봉구 도봉로 635 (쌍문동),1505.0,Y,SK에너지,도봉구
443,지에스칼텍스㈜ 도봉주유소,서울 도봉구 도봉로 895 (도봉동),1505.0,Y,GS칼텍스,도봉구
444,지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,1505.0,Y,GS칼텍스,도봉구
445,쌍문주유소,서울특별시 도봉구  도봉로 547 (쌍문동),1519.0,Y,S-OIL,도봉구
446,SK네트웍스(주)도봉행복주유소,서울 도봉구  도봉로 941 (도봉동),1525.0,Y,SK에너지,도봉구
447,동일석유(주) 창동주유소,서울특별시 도봉구  도봉로 434 (창동),1528.0,Y,SK에너지,도봉구
448,서현주유소,서울 도봉구 방학로 142 (방학동),1535.0,Y,S-OIL,도봉구
449,(주)쌍문셀프주유소,서울 도봉구 노해로 161 (쌍문동),1545.0,Y,현대오일뱅크,도봉구
450,대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),1549.0,N,GS칼텍스,도봉구
451,구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),1559.0,Y,S-OIL,도봉구
452,오복주유소,서울특별시 도봉구  방학로 43 (방학동),1575.0,Y,S-OIL,도봉구
453,제일주유소,서울 도봉구 해등로3길 86 (창동),1598.0,N,S-OIL,도봉구
454,(주)소모에너지엔테크놀러지 신중계주유소,서울 도봉구 방학로 21 (방학동),1598.0,N,GS칼텍스,도봉구
455,sk네트웍스 영신주유소,서울 도봉구 방학로 151,1615.0,N,SK에너지,도봉구
456,해와달주유소,서울 도봉구 마들로 776 (도봉동),1992.0,N,현대오일뱅크,도봉구
